stage,score,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,param,value
baseline,159.7275641940976,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.01,0.001,10000.0,0,26613.704067850384,166.13704067850384,153.7360197256392,2167,100.0,0.7981010000000002,62.729843229374914,2.1050602911048735,8034.740478392135,,
search:take_profit_pct,121.96912548868336,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.005,0.001,10000.0,0,22834.885268663413,128.34885268663413,153.7360197256392,5207,100.0,0.2991004999999895,62.53151465300514,3.315089946148777,12365.230503304869,take_profit_pct,0.005
search:take_profit_pct,130.1519724720905,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.008,0.001,10000.0,0,23656.144895649675,136.56144895649675,153.7360197256392,2850,100.0,0.5985008000000006,62.72984322937491,2.021901345563311,9121.363163712856,take_profit_pct,0.008
search:take_profit_pct,159.7275641940976,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.01,0.001,10000.0,0,26613.704067850384,166.13704067850384,153.7360197256392,2167,100.0,0.7981010000000002,62.729843229374914,2.1050602911048735,8034.740478392135,take_profit_pct,0.01
search:take_profit_pct,252.17607039034942,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,35858.55468747557,258.58554687475566,153.7360197256392,1653,100.0,0.9977012000000005,62.72984322937491,3.970203313423777,7047.362586079223,take_profit_pct,0.012
search:take_profit_pct,145.11978431592414,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.015,0.001,10000.0,0,25152.926080033038,151.52926080033038,153.7360197256392,1073,100.0,1.29710149999999,62.72984322937491,2.0864376201734394,4582.623332623166,take_profit_pct,0.015
search:take_profit_pct,172.84663904737502,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.02,0.001,10000.0,0,27929.129928491548,179.29129928491548,153.7360197256392,735,100.0,1.7961020000000019,62.964401583603156,2.1363879882943166,3860.5686140178714,take_profit_pct,0.02
search:take_profit_pct,195.61664009176846,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.025,0.001,10000.0,0,30206.130032930894,202.06130032930895,153.7360197256392,534,100.0,2.2951024999999916,62.96440158360319,2.2432062375788613,3291.927064388513,take_profit_pct,0.025
search:take_profit_pct,192.52408682673098,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,29896.874706427145,198.96874706427147,153.7360197256392,389,100.0,2.794103000000002,62.96440158360318,2.236841925988852,2688.9091018091794,take_profit_pct,0.03
search:take_profit_pct,232.5862994274958,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.04,0.001,10000.0,0,33892.21730404911,238.92217304049112,153.7360197256392,267,100.0,3.7921040000000037,62.239157419968805,2.3120957319100697,2349.76061466922,take_profit_pct,0.04
search:take_profit_pct,234.3622468560401,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.05,0.001,10000.0,0,34074.841184230456,240.74841184230456,153.7360197256392,192,100.0,4.790105000000003,62.57443324176316,2.31306043414165,1900.5802673974526,take_profit_pct,0.05
search:initial_pct,241.68764906000285,0.03,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,34803.446970644014,248.03446970644015,153.7360197256392,2197,100.0,0.997701200000001,62.31213764291535,4.037096423083001,6723.3682957853725,initial_pct,0.03
search:initial_pct,252.17607039034942,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,35858.55468747557,258.58554687475566,153.7360197256392,1653,100.0,0.9977012000000005,62.72984322937491,3.970203313423777,7047.362586079223,initial_pct,0.05
search:initial_pct,174.17214847065117,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,28063.68518948163,180.63685189481626,153.7360197256392,1214,100.0,0.9977012000000011,63.09802282776729,2.128907623440552,6938.313840307891,initial_pct,0.08
search:initial_pct,183.40924662685012,0.1,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,28991.076801085444,189.91076801085444,153.7360197256392,1071,100.0,0.9977012000000004,63.343475893362196,2.128097296120096,7295.948059718398,initial_pct,0.1
search:initial_pct,187.84607897157366,0.15,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,29446.954786050926,194.46954786050927,153.7360197256392,804,100.0,0.9977012000000013,64.15645925957078,2.086921013363567,7602.891452548073,initial_pct,0.15
search:initial_pct,154.91703951401792,0.2,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,26163.001567645595,161.63001567645594,153.7360197256392,601,100.0,0.9977012000000013,64.75317441625354,1.955996208047466,6734.914267062389,initial_pct,0.2
search:dca_depths,218.05538369884053,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.02, 0.06, 0.15, 0.3]",0.012,0.001,10000.0,0,32537.70170055731,225.37701700557312,153.7360197256392,1647,100.0,0.997701200000001,68.81088871155062,1.798312925270074,10326.522051612325,dca_depths,"[0.02, 0.06, 0.15, 0.3]"
